WD004;0.000;-90.000;0.000
WD004;30.000;-88.700;5.230
WD004;60.000;-87.000;2.500
WD005;100.000;-90.000;0.000
WD011;0.000;-90.000;0.000
WD011;40.000;-81.000;175.690
WD011;100.000;-75.000;178.000
WD016;0.000;-90.000;0.000
WD016;50.000;-86.950;2.350
WD016;100.000;-78.000;10.230
WD016;120.000;-87.930;1.340
WD031;0.000;-90.000;0.000
WD031;50.000;-89.800;176.210
WD032;0.000;-90.000;0.000
WD032;50.000;-76.000;78.000
WD032;100.000;-77.000;77.000
WD033;0.000;-90.000;0.000
WD033;50.000;-86.410;256.130
WD033;100.000;-88.230;254.180
WD064;0.000;-90.000;0.000
WD064;50.000;-89.000;330.000
WD095;0.000;-90.000;0.000
WD095;50.000;-88.000;2.000
WD095;80.000;-87.000;5.000
WRC001;120.000;-90.000;0.000
WRC002;110.000;-90.000;0.000
WRC003;80.000;-90.000;0.000
WRC006;120.000;-90.000;0.000
WRC007;140.000;-90.000;0.000
WRC008;0.000;-90.000;0.000
WRC008;30.000;-89.700;7.890
WRC008;60.000;-82.000;174.300
WRC008;120.000;-90.000;0.000
WRC009;100.000;-90.000;0.000
WRC010;140.000;-90.000;0.000
WRC012;130.000;-90.000;0.000
WRC013;100.000;-90.000;0.000
WRC014;120.000;-90.000;0.000
WRC015;120.000;-90.000;0.000
WRC017;120.000;-90.000;0.000
WRC018;100.000;-90.000;0.000
WRC019;120.000;-90.000;0.000
WRC020;110.000;-90.000;0.000
WRC021;100.000;-90.000;0.000
WRC022;120.000;-90.000;0.000
WRC023;50.000;-90.000;0.000
WRC024;50.000;-90.000;0.000
WRC025;140.000;-90.000;0.000
WRC026;100.000;-90.000;0.000
WRC027;60.000;-90.000;0.000
WRC028;100.000;-90.000;0.000
WRC029;100.000;-90.000;0.000
WRC030;120.000;-90.000;0.000
WRC034;150.000;-90.000;0.000
WRC035;40.000;-90.000;0.000
WRC036;70.000;-90.000;0.000
WRC037;150.000;-90.000;0.000
WRC038;50.000;-90.000;0.000
WRC039;50.000;-90.000;0.000
WRC040;90.000;-90.000;0.000
WRC041;100.000;-90.000;0.000
WRC042;90.000;-90.000;0.000
WRC043;50.000;-90.000;0.000
WRC044;100.000;-90.000;0.000
WRC045;100.000;-90.000;0.000
WRC046;50.000;-90.000;0.000
WRC048;70.000;-90.000;0.000
WRC049;40.000;-90.000;0.000
WRC050;100.000;-90.000;0.000
WRC051;90.000;-90.000;0.000
WRC052;150.000;-90.000;0.000
WRC053;110.000;-90.000;0.000
WRC054;110.000;-90.000;0.000
WRC055;100.000;-90.000;0.000
WRC056;50.000;-90.000;0.000
WRC057;40.000;-90.000;0.000
WRC058;100.000;-90.000;0.000
WRC059;90.000;-90.000;0.000
WRC060;70.000;-90.000;0.000
WRC061;30.000;-90.000;0.000
WRC062;100.000;-90.000;0.000
WRC063;100.000;-90.000;0.000
WRC065;100.000;-90.000;0.000
WRC066;120.000;-90.000;0.000
WRC067;100.000;-90.000;0.000
WRC068;30.000;-90.000;0.000
WRC069;140.000;-90.000;0.000
WRC070;100.000;-90.000;0.000
WRC071;20.000;-90.000;0.000
WRC072;30.000;-90.000;0.000
WRC073;130.000;-90.000;0.000
WRC074;100.000;-90.000;0.000
WRC075;70.000;-90.000;0.000
WRC076;150.000;-90.000;0.000
WRC077;120.000;-90.000;0.000
WRC078;80.000;-90.000;0.000
WRC079;150.000;-90.000;0.000
WRC080;150.000;-90.000;0.000
WRC081;170.000;-90.000;0.000
WRC082;120.000;-90.000;0.000
WRC083;150.000;-90.000;0.000
WRC084;150.000;-90.000;0.000
WRC085;120.000;-90.000;0.000
WRC086;100.000;-90.000;0.000
WRC087;120.000;-90.000;0.000
WRC088;20.000;-90.000;0.000
WRC089;70.000;-90.000;0.000
WRC090;70.000;-90.000;0.000
WRC091;100.000;-90.000;0.000
WRC092;100.000;-90.000;0.000
WRC093;100.000;-90.000;0.000
WRC094;140.000;-90.000;0.000
